date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:27	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2007%20Apr%202018%2005:39:26%20GMT	https://highgradelab.com/robots.txt		(from )
15:39:28	126661/126661	---MC-	200	added ('OK')	text/html	date:Sat,%2007%20Apr%202018%2005:39:27%20GMT	https://highgradelab.com/stash/dark-freelancer/	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/index.html	(from )
15:39:28	5996/5996	---M--	200	added ('OK')	image/png	etag:%22176c-553991f131800%22	https://highgradelab.com/stash/dark-freelancer/wp-content/themes/stash/highgrade/images/favicon.png	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/themes/stash/highgrade/images/favicon.png	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:29	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2007%20Apr%202018%2005:39:28%20GMT	https://highgradelab.com/stash/dark-freelancer/xmlrpc.php	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/xmlrpc.php	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:29	17380/17380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/My%20Web%20Sites/ShowRoom/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:30	702/702	---M-Z	200	added ('OK')	text/css	etag:%222be-55a69b77c5d00-gzip%22	https://highgradelab.com/stash/dark-freelancer/wp-content/plugins/hgr_cta/hgr-cta.css?ver=4.8.6	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/plugins/hgr_cta/hgr-cta81db.css	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:30	5575/5575	---MC-	200	added ('OK')	application/rss+xml	etag:%229b0a0b60b8bab3ad20f80bcae1d14872%22	https://highgradelab.com/stash/dark-freelancer/feed/	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/feed/index.html	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:30	821/821	---MC-	200	added ('OK')	application/rss+xml	etag:%22e8e02f4562a96f25fa6f74a1a5c70713%22	https://highgradelab.com/stash/dark-freelancer/comments/feed/	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/comments/feed/index.html	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:31	1606/1606	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jun%202017%2022:00:00%20GMT	https://highgradelab.com/stash/dark-freelancer/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.8	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/plugins/contact-form-7/includes/css/stylesef15.css	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:31	42447/42447	---M-Z	200	added ('OK')	text/css	etag:%22a5cf-54be5b2a05800-gzip%22	https://highgradelab.com/stash/dark-freelancer/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.1.0.2	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/plugins/essential-grid/public/assets/css/settingse24f.css	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:32	17780/17780	---M-Z	200	added ('OK')	text/css	etag:%224574-54f0a5c475800-gzip%22	https://highgradelab.com/stash/dark-freelancer/wp-content/plugins/hgr_vc_extender/includes/css/font-awesome.min.css?ver=4.8.6	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/plugins/hgr_vc_extender/includes/css/font-awesome.min81db.css	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:34	30165/30165	---M-Z	200	added ('OK')	text/css	etag:%2275d5-553991f131800-gzip%22	https://highgradelab.com/stash/dark-freelancer/wp-content/themes/stash/highgrade/css/icons.css?ver=4.8.6	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/themes/stash/highgrade/css/icons81db.css	(from https://highgradelab.com/stash/dark-freelancer/)
15:39:34	28986/28986	---M-Z	200	added ('OK')	text/css	etag:%22713a-553991f131800-gzip%22	https://highgradelab.com/stash/dark-freelancer/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.2	C:/My%20Web%20Sites/ShowRoom/highgradelab.com/stash/dark-freelancer/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min5fba.css	(from https://highgradelab.com/stash/dark-freelancer/)
